Unmapped,CFT_Schema,CEF_Short,CEF,ECS,ECS Extended,PanOS:Traffic,PanOS:Threat,PanOS:Config,PanOS:System,PanOS: Tunnel Inspection,PanOS:HIP,Suricata
,,agt,agentAddress,observer.ip,,,,,,,,
,,agentDns Domain,agentDnsDomain,observer.hostname,,,,,,,,
,,ahost,agentHostName,observer.hostname,,,,,,,,
,,aid,agentId,,observer.serial_number,,,,,,,
,,amac,agentMacAddress,observer.mac,,,,,,,,
,,agentNtDomain,agentNtDomain,,,,,,,,,
,,art,agentReceiptTime,event.created,,,,,,,,
,,atz,agentTimeZone,,event.timezone,,,,,,,
,,agentTranslated Address,agentTranslatedAddress,,,,,,,,,
,,agentTranslated ZoneExternalID,agentTranslatedZone ExternalID,,,,,,,,,
,,agentTranslated Zone URI,agentTranslatedZoneURI,,,,,,,,,
,,at,agentType,observer.type,,,,,,,,
,,av,agentVersion,observer.version,,,,,,,,
,,agentZone ExternalID,agentZoneExternalID,,,,,,,,,
,,agentZoneURI,agentZoneURI,,,,,,,,,
,,app,applicationProtocol,,network.application,$app,$app,$app,$app,$app,$app,
,,cnt,baseEventCount,,,$repeatcnt,$repeatcnt,$repeatcnt,$repeatcnt,$repeatcnt,$repeatcnt,
,,in,bytesIn,source.bytes,,$bytes_received,$bytes_received,$bytes_received,$bytes_received,$bytes_received,$bytes_received,
,,out,bytesOut,destination.bytes,,$bytes_sent,$bytes_sent,$bytes_sent,$bytes_sent,$bytes_sent,$bytes_sent,
,,customer ExternalID,customerExternalID,,organization.id,,,,,,,
,,customerURI,customerURI,,organization.name,,,,,,,
,,dst,destinationAddress,destination.ip,,$dst,$dst,$dst,$dst,$dst,$dst,
,,destination DnsDomain,destinationDnsDomain,destination.domain,,,,,,,,
,,dlat,destinationGeoLatitude,destination.geo.location,,,,,,,,
,,dlong,destinationGeoLongitude,destination.geo.location,,,,,,,,
,,dhost,destinationHostName,,,,,,,,,
,,dmac,destinationMacAddress,destination.mac,,,,,,,,
,,dntdom,destinationNtDomain,,,,,,,,,
,,dpt,destinationPort,destination.port,,$dport,$dport,$dport,$dport,$dport,$dport,
,,dpid,destinationProcessId,process.pid,,,,,,,,
,,dproc,destinationProcessName,,,,,,,,,
,,destination ServiceName,destinationServiceName,service.name,,$client,$client,$client,$client,$client,$client,
,,destination Translated Address,destinationTranslated Address,,,$natdst,$natdst,$natdst,$natdst,$natdst,$natdst,
,,destination TranslatedZone ExternalID,destinationTranslated ZoneExternalID,,,,,,,,,
